user_id,lessonTest1_score,lessonWebinar2_visit,lesson3_visit,lesson3_progress,lesson4_visit,lesson4_progress,lesson5_visit,lesson5_progress,lesson6_visit,lesson6_progress,lesson7_visit,lesson7_progress,lessonTest8_score,lessonWebinar9_visit,lesson10_visit,lesson10_progress,lesson11_visit,lesson11_progress,lesson12_visit,lesson12_progress,lessonWebinar13_visit,lessonTest14_score
3,3,0,0,12,0,27,1,28,0,15,0,27,10,1,0,5,1,9,1,12,1,25
6,17,0,0,25,1,27,0,25,0,0,1,15,23,0,1,26,1,4,1,11,1,26
7,19,0,0,8,0,6,0,8,0,1,1,25,11,0,1,28,0,2,0,13,0,14
8,16,0,1,27,1,24,0,6,1,20,0,27,9,0,0,27,0,6,1,6,0,11
12,4,0,0,16,0,17,0,28,0,9,1,10,19,0,1,19,1,18,0,3,0,2
19,29,1,0,15,0,11,0,12,0,0,0,28,8,0,0,13,0,4,0,17,0,21
20,20,0,0,17,0,26,0,16,1,29,0,18,7,0,0,28,0,2,0,9,0,14
23,22,1,1,16,0,14,0,15,1,17,1,22,23,0,0,27,0,14,0,27,1,5
29,17,0,0,4,1,24,1,10,0,0,0,19,3,0,0,13,1,5,0,1,0,20
30,28,0,1,2,0,14,1,23,0,22,1,9,24,0,1,17,1,23,1,18,1,13
31,28,0,1,27,0,2,0,4,0,18,1,3,5,1,1,7,0,18,0,28,0,27
34,0,0,0,13,0,23,0,5,0,26,0,14,11,1,0,29,0,24,0,9,0,22
36,26,0,1,4,1,28,0,17,1,6,0,10,21,0,0,4,0,13,1,1,1,28
37,15,0,0,25,0,11,1,7,1,14,1,18,17,1,1,16,0,20,0,10,0,18
39,19,0,0,14,1,22,0,14,0,26,0,26,25,0,1,22,0,5,1,25,1,4
43,0,1,0,23,0,2,1,29,0,14,1,18,28,0,1,2,1,23,0,16,0,27
45,13,0,0,12,0,12,0,28,0,9,1,20,22,1,0,11,1,14,0,15,1,7
46,19,0,0,5,0,4,1,4,0,17,0,16,15,0,1,20,0,24,0,22,1,26
48,18,0,0,24,1,7,0,12,1,17,0,17,22,0,0,6,1,13,0,21,0,21
49,1,1,1,25,0,28,1,13,0,1,0,3,11,1,0,3,0,29,1,29,0,13
50,26,0,0,18,0,17,0,20,0,9,0,5,21,0,0,9,0,22,1,2,1,21
52,10,0,0,2,1,2,0,16,0,28,0,25,23,0,0,7,1,16,0,14,0,29
60,11,0,1,23,0,20,1,25,1,2,0,25,16,0,0,3,0,18,1,27,0,9
62,26,0,0,11,0,23,0,17,1,10,1,4,13,1,0,24,0,7,0,12,0,1
63,6,0,1,24,0,17,1,13,0,11,0,9,1,0,0,28,1,13,0,0,0,3
