user_id,lessonTest1_score,lessonWebinar2_visit,lesson3_visit,lesson3_progress,lesson4_visit,lesson4_progress,lesson5_visit,lesson5_progress,lesson6_visit,lesson6_progress,lesson7_visit,lesson7_progress,lessonTest8_score,lessonWebinar9_visit,lesson10_visit,lesson10_progress,lesson11_visit,lesson11_progress,lesson12_visit,lesson12_progress,lessonWebinar13_visit,lessonTest14_score
290,53,0,0,38,0,32,1,52,0,68,1,60,39,0,1,55,0,58,1,39,1,67
266,69,0,1,56,0,63,0,69,1,47,1,58,69,1,0,52,1,31,0,49,1,33
228,0,1,0,29,0,25,0,17,0,28,0,13,10,0,0,29,0,23,1,21,0,26
241,89,1,1,91,1,92,1,96,1,76,1,81,85,1,0,90,1,94,1,99,0,71
253,31,1,1,41,0,39,1,49,0,39,1,42,52,0,1,38,1,39,1,47,0,50
256,77,0,1,87,1,98,1,99,1,78,0,85,85,1,1,81,1,90,0,97,1,94
294,16,1,0,5,0,4,0,9,0,14,0,26,23,0,0,19,0,23,0,23,0,1
240,49,1,0,37,0,42,1,38,1,69,0,48,61,0,0,49,1,55,1,59,1,62
221,60,0,1,67,1,54,1,65,1,47,1,68,49,0,0,37,0,44,0,55,0,63
245,61,0,0,50,0,36,1,69,1,65,0,49,60,1,1,59,1,48,1,59,0,66
260,4,0,0,1,0,29,0,7,0,3,1,6,28,0,0,25,0,14,0,7,0,20
225,35,1,0,51,0,45,0,35,0,58,1,62,67,1,1,66,0,67,0,40,0,33
265,85,0,1,84,0,98,1,75,1,75,1,79,92,1,0,83,0,99,0,87,1,89
252,21,0,1,22,0,14,0,22,0,18,1,24,12,1,0,29,0,28,1,18,0,22
270,62,1,1,57,1,48,0,57,0,31,0,63,60,0,1,39,1,60,1,39,0,41
272,41,0,0,50,1,35,0,30,1,59,1,56,34,1,1,69,1,50,0,36,0,38
238,56,1,0,39,0,39,0,60,0,57,1,67,60,0,0,68,0,30,0,68,0,38
224,16,1,0,23,0,10,0,15,1,8,0,29,17,0,0,17,1,2,0,20,0,21
251,77,0,0,88,1,97,0,94,1,70,1,92,72,1,0,76,0,71,1,77,1,81
274,85,1,0,76,1,95,1,78,1,77,0,82,90,0,1,99,1,97,0,77,0,91
285,58,1,1,49,0,61,0,50,0,59,0,30,49,1,0,62,1,45,1,32,1,52
235,90,1,1,70,1,91,1,72,0,91,1,89,76,0,1,99,1,73,1,88,1,81
229,7,1,0,20,0,8,1,23,0,8,1,24,22,0,0,7,0,17,0,27,0,0
273,43,1,0,56,1,57,0,38,1,33,1,64,55,1,1,55,0,61,0,33,0,40
276,73,1,1,85,1,71,1,76,0,82,0,83,80,0,1,89,1,83,1,99,0,80
