user_id,lessonTest1_score,lessonWebinar2_visit,lesson3_visit,lesson3_progress,lesson4_visit,lesson4_progress,lesson5_visit,lesson5_progress,lesson6_visit,lesson6_progress,lesson7_visit,lesson7_progress,lessonTest8_score,lessonWebinar9_visit,lesson10_visit,lesson10_progress,lesson11_visit,lesson11_progress,lesson12_visit,lesson12_progress,lessonWebinar13_visit,lessonTest14_score
154,34,1,0,32,1,58,0,34,1,44,0,47,58,0,1,57,0,31,0,62,0,56
155,67,0,1,34,1,68,1,67,1,45,0,56,66,1,1,63,0,66,1,56,0,43
156,69,0,0,37,0,64,1,64,0,36,0,59,67,0,1,56,0,66,0,33,0,57
158,44,1,0,47,0,58,0,32,0,69,0,40,39,0,0,37,0,49,0,32,1,51
159,58,0,1,44,1,41,0,65,0,59,0,64,58,0,0,54,1,31,0,59,0,37
161,69,0,0,68,0,49,0,39,0,43,0,59,69,1,1,33,1,64,1,48,0,37
162,46,0,1,63,1,55,1,47,1,35,0,65,64,0,1,43,1,66,1,36,0,41
164,57,0,1,61,0,69,1,30,0,55,1,34,53,1,0,69,1,46,0,51,1,50
169,67,0,0,67,1,67,0,34,0,36,1,51,48,1,1,35,0,58,1,65,0,44
173,40,0,0,69,1,52,1,59,0,33,0,51,37,0,0,65,1,30,1,38,1,44
183,38,1,0,68,0,57,0,46,1,32,0,39,57,0,0,35,0,64,0,30,0,67
185,53,0,0,53,1,32,0,31,0,67,1,67,36,1,1,43,1,43,0,69,1,53
191,66,0,0,48,0,59,0,44,1,56,1,64,62,1,1,35,0,58,1,43,1,34
193,43,1,0,46,1,40,1,32,1,63,0,40,46,0,1,58,1,67,1,55,0,37
194,45,1,1,51,1,44,1,34,0,38,1,62,44,1,0,30,0,66,1,42,1,38
197,50,0,1,56,0,30,1,50,1,64,0,35,60,1,1,37,1,56,0,45,0,68
198,43,1,1,54,1,63,0,36,1,53,1,44,43,1,0,67,0,60,0,58,0,69
199,42,1,0,60,1,64,0,62,0,48,0,52,64,1,0,53,1,55,1,42,1,55
203,50,0,0,63,0,61,0,30,0,33,1,56,63,1,0,41,1,61,0,36,0,54
204,50,0,1,52,1,58,1,62,0,62,1,44,62,0,1,44,1,34,1,66,0,30
205,46,0,0,45,0,40,0,44,0,55,1,30,62,1,0,39,1,31,0,45,0,46
207,60,1,0,66,0,48,0,69,1,44,1,42,57,1,0,43,1,67,0,55,1,50
214,36,0,0,51,1,31,1,65,0,49,1,42,49,0,1,36,1,32,1,36,1,47
215,67,0,0,42,0,61,0,48,1,57,1,67,58,0,1,33,1,66,1,60,1,33
218,59,1,0,64,0,63,1,41,0,61,1,67,41,0,1,49,0,64,1,35,1,63
