user_id,lessonTest1_score,lessonWebinar2_visit,lesson3_visit,lesson3_progress,lesson4_visit,lesson4_progress,lesson5_visit,lesson5_progress,lesson6_visit,lesson6_progress,lesson7_visit,lesson7_progress,lessonTest8_score,lessonWebinar9_visit,lesson10_visit,lesson10_progress,lesson11_visit,lesson11_progress,lesson12_visit,lesson12_progress,lessonWebinar13_visit,lessonTest14_score
163,70,0,1,81,1,96,0,82,1,84,1,81,78,1,1,95,0,86,0,99,0,87
165,74,1,1,87,1,91,0,71,1,81,0,76,98,1,1,76,0,81,1,97,1,71
167,71,1,0,99,1,94,0,74,1,94,1,82,97,1,1,74,0,91,1,86,0,77
168,84,1,0,73,1,99,1,78,1,85,1,97,74,0,1,75,1,93,0,94,1,94
171,79,0,0,93,1,73,1,75,0,83,0,90,96,1,0,74,0,97,1,91,0,98
174,84,1,1,77,1,97,1,81,1,91,0,79,92,1,1,74,1,74,0,83,1,85
176,88,1,0,82,1,98,0,73,0,71,1,93,97,1,1,91,1,72,1,76,0,88
178,81,1,0,90,1,73,1,91,1,99,1,89,70,1,1,73,1,96,1,75,1,96
179,94,1,0,87,1,75,1,75,0,71,1,75,88,1,0,91,0,95,1,98,0,98
181,93,0,0,97,1,76,1,79,0,80,1,96,81,1,1,87,1,72,1,84,1,89
184,78,1,0,82,1,91,1,84,1,75,0,78,83,1,1,83,1,84,1,71,1,82
188,99,0,1,72,0,88,1,86,1,80,0,70,73,1,1,79,0,73,0,99,1,84
190,93,1,1,83,0,75,1,73,1,89,0,93,86,1,1,94,0,72,0,79,1,87
196,88,1,1,84,1,73,1,88,1,76,0,87,77,0,1,80,1,83,0,88,1,95
202,85,0,0,96,1,74,0,72,0,95,1,72,96,1,1,99,0,89,0,89,1,79
206,79,1,1,91,1,78,1,90,1,89,0,81,78,1,0,71,1,81,1,72,1,73
208,74,1,1,77,1,96,1,94,0,98,0,96,91,1,0,88,0,89,1,99,1,95
212,92,0,1,77,1,89,0,77,1,97,0,86,79,1,1,97,1,95,1,97,1,78
216,75,1,1,77,1,80,0,73,0,86,1,77,70,1,1,71,1,85,0,95,1,93
219,79,1,1,92,1,99,0,73,1,70,1,89,74,0,0,98,1,75,1,75,0,78
220,71,0,0,97,1,95,0,99,0,86,1,76,76,1,1,88,1,73,1,76,1,87
222,93,1,0,94,1,82,0,75,1,71,1,96,97,1,1,75,1,85,0,80,1,76
227,95,1,1,72,1,94,0,93,1,83,1,76,81,1,1,78,1,91,0,81,1,97
230,88,0,0,77,1,70,0,95,0,97,1,87,71,0,1,85,1,83,0,86,1,85
231,88,1,1,87,1,89,0,88,1,99,0,99,76,0,1,76,1,96,1,81,1,99
